Nº de série,Faturamento Acumulado,Despesas Acumuladas
MT003,192706.46000000002,0.0
MT006,233627.83000000002,12609.49
MT011,727999.44,10972.75
MT012,153377.33,6302.6
MT021,84877.42,0.0
MT025,276962.34,7292.62
MT027,237799.66,13782.15
MT028,252633.33000000002,17103.17
MT032,251871.75999999998,3775.82
MT035,139500.0,125982.03
MT037,0.1,19762.82
MT040,156300.0,0.0
MT041,143800.0,25487.45
MT043,394410.64,25337.3
MT046,227832.83000000002,45328.73
MT050,349365.98,37472.76
MT052,201803.16999999998,43881.99
MT053,153333.01,87812.35
MT064,115672.96,31089.98
MT072,445999.27,88629.77
MT074,174709.25,21628.73
MT075,423560.52,54174.58
MT076,24500.0,30652.86
MT087,184809.63,33319.65
MT089,0.0,14946.98
MT090,41900.0,289671.03
MT091,154094.83,9725.63
MT094,220403.14,38309.1
MT095,129499.76,37303.55
MT096,310250.0,1623.19
MT098,0.0,5830.81
MT101,13000.0,61651.66
MT102,74873.16,29843.88
MT103,104400.0,0.0
MT105,0.0,44015.44
MT106,179039.87,42439.67
MT107,453142.93,10341.12
MT109,0.0,102009.3
MT113,123666.13,4148.68
MT118,96286.27,26.62
MT119,331266.12,14325.83
MT122,151236.27,17180.3
MT123,177755.84,70922.8
MT124,0.0,27765.46
MT125,224474.7,11971.78
MT126,347965.06,42477.49
MT127,449263.3,38125.35
MT128,72599.93,816.28
MT134,376449.38,9461.98
MT136,368333.1,15805.86
MT137,49250.0,0.0
MT138,39634.76,16257.36
MT141,0.0,31743.44
MT145,317271.66000000003,2877.95
MT148,25599.739999999998,2721.82
MT150,381651.38,57380.82
MT153,382166.66,21662.07
MT156,5333.28,114751.73
MT160,45375.0,43420.82
MT169,252939.71,13745.18
MT172,29069.97,0.0
MT175,269360.07,38857.86
MT177,270152.6,24003.38
MT182,169359.71,33983.33
MT183,316399.75,40564.9
MT184,414966.62,32870.36
MT185,579982.71,71927.38
MT186,156145.33000000002,136533.23
MT187,606900.0,20260.51
MT188,571399.01,48958.21
MT191,572832.7,47593.78
MT192,455613.19,15323.35
MT193,593564.67,8426.69
MT194,644333.24,7044.0
MT195,131759.69,5670.65
MT196,398048.6,58085.62
MT197,449932.76,83002.45
MT198,397832.51,60828.17
MT199,442166.46,8686.88
MT200,509899.53,62201.63
MT201,627116.09,47159.56
MT203,575799.72,7839.76
MT204,251820.46,20668.01
MT205,145844.09,15970.75
MT206,266852.49,25082.29
MT207,0.0,4395.52
MT208,0.0,372.44
MT209,218595.69,13357.35
MT213,233976.29,24710.97
MT214,194833.33000000002,0.0
MT215,172666.34,1113.51
MT216,208266.34,0.0
MT217,384999.74000000005,31186.11
MT218,330268.72000000003,10788.0
MT219,138833.0,4730.32
MT220,287969.6,15577.21
MT221,451681.73,29821.27
MT224,518199.62,50216.23
MT227,66000.0,0.0
MT228,32466.34,10798.51
MT229,208909.43,34024.83
MT231,166889.05,2834.5
MT234,352398.89,9475.04
MT236,113166.24,89699.94
MT238,671851.61,33464.62
MT239,236043.99,0.0
MT240,264346.44,13960.77
MT241,657599.75,27173.76
MT245,74666.62,0.0
MT249,213426.88999999998,0.0
MT252,485029.82,31815.79
MT255,261474.7,6600.74
MT256,0.0,111.62
MT258,0.0,2119.56
MT259,317605.9,13431.09
MT260,106166.66,0.0
MT261,416728.98,81892.52
MT263,321237.77,9836.31
MT264,343833.0,0.0
MT267,727999.44,25927.0
MT269,129249.70999999999,7114.28
MT273,279110.89,35892.07
MT274,474699.47,6775.16
MT275,910000.0,54096.87
MT277,300271.42,37235.97
MT278,0.0,22307.72
MT279,333692.79,56671.81
MT280,240413.12,14498.3
MT281,317262.81,18948.47
MT282,840000.0,28588.5
MT283,242666.52,16115.59
MT284,528822.1,10868.44
MT285,614913.77,73748.7
MT286,560399.45,24437.68
MT287,512758.0,13579.61
MT288,485412.31,10318.43
MT289,726134.05,68883.42
MT290,620132.61,69063.73
MT291,539321.13,114647.41
MT292,1010201.57,90256.12
MT293,559811.29,45569.62
MT294,446629.36,29646.2
MT295,776250.0,43893.03
MT296,604399.77,6097.78
MT297,547399.16,42148.49
MT298,265399.89,17131.79
MT299,659311.7,31374.56
MT300,404212.0,40548.81
MT301,448932.97,70454.85
MT302,234019.48,43350.41
MT303,350911.67,51011.56
MT304,445133.22,15111.21
MT305,505423.07,175954.91
MT306,551853.0,34137.74
MT307,910000.0,31462.11
MT308,268949.12,8819.47
MT309,684425.6,57263.08
MT310,424419.3,33960.77
MT311,294499.21,11421.58
MT312,587583.02,42898.14
MT313,648564.82,37365.33
MT314,710232.9,13549.25
MT315,386962.0,28466.35
MT316,599741.93,27659.6
MT317,258911.69,29502.44
MT318,605976.45,29983.52
MT319,401632.63,5237.49
MT320,742666.31,33208.41
MT321,726632.98,10039.48
MT322,635747.12,28035.24
MT323,592133.04,27591.13
MT324,1153249.37,4044.91
MT325,1083272.98,8771.32
MT326,616654.27,31075.64
MT327,418615.97000000003,22702.42
MT328,505617.74,23001.18
MT329,677819.01,17560.48
MT330,398132.3,51523.15
MT331,403999.88,68327.27
MT332,652615.83,43282.64
MT333,700799.29,1060.26
MT334,314277.72,40846.6
MT335,652799.8,24869.4
MT336,671911.76,31885.36
MT337,321131.79,5394.22
MT338,652665.9400000001,40327.44
MT339,794932.95,44663.07
MT340,478016.27,37161.92
MT341,321730.69,4596.74
MT342,13000.0,59309.76
MT343,449059.46,37636.71
MT344,256750.0,10111.03
MT345,515785.15,41346.26
MT346,225969.39,116.24
MT347,497468.85,15449.86
MT348,534719.05,16173.57
MT349,550342.45,22113.45
MT350,822214.98,8463.63
MT351,386721.32,6253.5
MT352,569866.44,15553.77
MT353,217999.91,253951.22
MT354,582701.03,35600.31
MT355,401077.74,77203.31
MT356,250982.54,19821.39
MT357,377283.02999999997,256068.43
MT358,245532.8,21191.19
MT359,586399.42,133.41
MT360,303077.24,2601.85
MT361,585599.42,40316.87
MT362,650000.0,44932.82
MT363,842829.0,14789.27
MT364,507037.94,21358.49
MT365,771866.25,8025.98
MT366,204000.0,23115.82
MT367,842829.0,39145.71
MT368,450829.67,6920.56
MT369,235515.50999999998,47403.27
MT370,91116.47,8597.67
MT371,722229.38,28932.18
MT372,1081116.27,1500.46
MT373,223806.4,13367.36
MT374,655507.93,131145.63
MT375,1090157.35,23057.77
MT376,628121.19,27670.32
MT377,656935.26,10620.58
MT378,1131406.52,1433.55
MT379,816799.07,47671.42
MT380,668632.85,6794.15
MT381,602372.42,31925.47
MT382,156799.79,19833.81
MT383,508293.58999999997,11169.33
MT384,770642.47,44652.33
MT385,663599.15,11675.15
MT386,243813.21,8680.93
MT387,77266.3,13945.57
MT388,751132.69,17201.45
MT389,232566.33,58302.57
MT390,756601.85,7032.39
MT391,563899.49,33700.84
MT392,648345.97,15000.14
MT393,687482.49,51241.51
MT394,138832.93,32814.5
MT395,317483.23,123127.1
MT396,646499.92,9208.19
MT397,98399.73999999999,11482.4
MT398,577172.61,24708.36
MT399,524352.25,20811.43
MT400,365133.08,36088.32
MT401,424928.82,2743.65
MT402,365632.76,14287.18
MT403,538432.63,11816.24
MT404,864449.7,22385.7
MT405,358252.63,22504.85
MT406,403049.37,28871.97
MT407,228783.16,484.94
MT408,581500.0,1910.73
MT409,457082.72,14461.61
MT410,320829.58,37204.91
MT411,483859.69,3188.31
MT412,28800.0,0.0
MT413,210916.53,1888.82
MT414,456632.48,28640.44
MT415,324932.82,7375.52
MT416,7999.92,2599.37
MT417,108000.0,2843.06
MT418,78900.0,0.0
MT419,505069.91,5196.95
MT420,205500.0,6822.98
MT421,225265.62,70.75
MT422,161749.39,368.64
MT423,164999.7,4422.65
MT424,159999.12,3734.98
PA003,245267.69,3013.27
PA005,104770.0,5526.4
PA007,83028.64,6555.77
PA009,3300.0,0.0
PA010,202097.4,7545.52
PA011,185814.09,19244.42
PA013,186439.82,17965.95
PA015,203174.32,19403.02
PA017,154903.31,4609.04
PA018,203890.96,25656.74
PA019,40256.64,1297.66
PA020,265829.99,11485.44
PA021,235239.93,7593.79
PA022,68352.91,8234.62
PA024,28964.1,3885.02
PA025,56254.01,12822.43
PA026,60537.729999999996,11622.97
PA027,197188.89,89196.69
PA029,483490.2,16715.51
PA030,387142.29,2068.5
PA031,361847.58,33975.93
PA032,392674.59,7078.43
PA033,473499.34,48359.5
PA034,225442.0,16175.19
PA035,147899.92,6698.67
PA036,207028.1,12235.87
PA038,196225.53,828.35
PA040,248500.0,2583.12
PA042,501166.43,54082.99
PA043,327249.35,7535.97
PA044,344400.0,2611.67
PA045,300000.0,3207.27
PA047,191667.5,13340.6
PA048,412236.57,4149.3
PA050,204200.0,16369.87
