Nº de série,Valor de Compra,Data de Compra
MT003,200000.0,2011-01-05
MT004,200000.0,2011-01-05
MT006,198900.0,2011-02-10
MT007,214630.0,2011-02-10
MT008,212090.0,2011-03-01
MT009,211671.0,2011-03-14
MT010,211671.0,2011-03-14
MT011,211671.0,2011-03-25
MT012,200090.0,2011-04-12
MT013,190800.0,2011-05-04
MT015,183280.0,2011-05-19
MT020,232392.0,2012-05-09
MT021,234156.0,2012-05-15
MT024,182500.0,2012-11-19
MT025,182500.0,2012-11-27
MT026,182500.0,2013-02-05
MT027,182500.0,2013-02-27
MT028,182500.0,2013-03-18
MT030,170000.0,2013-03-22
MT031,170000.0,2013-03-22
MT032,182500.0,2011-01-01
MT033,182500.0,2013-05-25
MT034,170000.0,2013-07-18
MT035,180000.0,2017-07-30
MT037,306000.0,2013-09-16
MT038,306000.0,2013-09-16
MT041,47565.0,2013-11-07
MT042,87675.0,2013-11-05
MT043,85890.0,2013-11-05
MT045,80535.0,2013-11-05
MT046,42945.0,2013-11-14
MT047,42630.0,2013-11-14
MT048,71400.0,2013-11-14
MT049,75180.0,2013-11-14
MT050,32550.0,2013-12-19
MT052,120000.0,2014-02-19
MT053,81900.0,2014-02-26
MT057,267119.3,2014-08-04
MT058,267119.3,2014-08-04
MT059,267119.3,2014-08-04
MT060,267119.3,2014-08-04
MT061,268345.0,2014-08-26
MT062,268345.0,2014-08-25
MT063,115500.0,2014-10-06
MT064,63000.0,2014-10-06
MT065,99750.0,2014-10-06
MT066,327249.99,2015-03-27
MT067,327249.99,2015-03-27
MT068,327249.99,2015-03-27
MT069,100000.0,2011-01-01
MT072,60000.0,2016-06-07
MT073,55000.0,2016-07-21
MT074,55000.0,2016-07-21
MT075,55000.0,2016-07-21
MT076,305000.0,2017-03-23
MT079,55000.0,2016-09-21
MT082,35000.0,2016-06-12
MT085,83045.26,2016-09-30
MT087,83045.26,2016-10-01
MT088,83045.26,2016-09-30
MT089,83045.26,2016-09-30
MT090,83045.26,2016-09-30
MT091,83045.26,2016-09-30
MT093,83045.26,2012-01-01
MT094,75313.87,2016-09-30
MT095,75313.87,2016-09-30
MT096,75313.87,2016-09-30
MT097,75313.87,2016-09-30
MT098,83045.26,2016-10-31
MT100,83045.26,2012-01-01
MT102,83045.26,2016-12-23
MT103,75313.87,2016-12-23
MT104,75313.87,2016-10-31
MT105,75313.87,2016-10-31
MT106,75313.87,2016-10-31
MT107,83045.26,2016-10-31
MT108,75313.87,2017-01-31
MT109,75313.87,2017-01-31
MT110,83045.26,2016-10-31
MT111,83045.26,2017-01-31
MT112,75313.87,2017-01-31
MT113,75313.87,2017-01-31
MT115,32500.0,2017-07-06
MT118,23000.0,2017-07-31
MT119,85000.0,2010-01-01
MT122,70000.0,2018-01-31
MT123,65000.0,2018-01-31
MT124,70000.0,2018-02-15
MT125,70000.0,2018-02-15
MT126,70000.0,2018-02-28
MT127,70000.0,2018-03-07
MT128,65000.0,2018-03-19
MT130,30000.0,2018-09-03
MT134,70000.0,2018-04-27
